,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,FED BS / Money supply (billions),FED BS Assets - Reverse Repo,FED Balance Sheet (total factors ABSORBING reserve funds),Currency in circulation (1),Deposits with Federal Reserve Banks excluding Reserve Balances (4),FED BS with Fed Banks
31/03/2005,50.94602978,35.50907258,86.01434426,40.32258065,49.42396313,58.07377049,52.28494624,48.68035191,76.13767281,65.67321178,64.54918033,86.15664845,65.6402737,53.93442623,74.97673697,36.49817851,47.28252843,65.20737327,57.92349727,71.73835125,78.04147465,62.46639785,56.38248848,0.12495742,813123,819342,755240,14267,17471
30/04/2005,42.96398046,32.51488095,78.02419355,50.68342152,39.71088435,55.98790323,79.1005291,35.60606061,75.93537415,66.84782609,46.39616935,76.70250896,64.28571429,52.31182796,69.13156288,54.81630824,53.52368498,67.80045351,70.43010753,71.27865961,72.99319728,67.69179894,57.43764172,0.125343548,812875,821546,754397,15162,16397
31/05/2005,39.97896635,28.83300781,70.28769841,49.39236111,44.50334821,34.28571429,49.08854167,39.89701705,75.43247768,67.63756793,50.43402778,82.62786596,61.24526515,64.39153439,60.69711538,58.70811287,57.47890748,53.34821429,61.24338624,70.04340278,67.66741071,40.65755208,55.49107143,0.125827579,814407,824201,757385,14215,15393
30/06/2005,53.57988166,25.43269231,60.87239583,54.05982906,45.54945055,42.7734375,69.23076923,52.18531469,78.66758242,71.59698997,49.19433594,64.40972222,55.8041958,56.19791667,55.30325444,53.58072917,47.65625,42.30769231,42.64322917,63.53846154,63.93406593,38.79807692,52.12087912,0.125012409,815397,828049,763380,12787,11585
31/07/2005,58.50815851,26.32575758,69.08653846,59.40656566,55.81709957,49.03846154,81.06060606,54.68319559,81.4258658,76.25988142,58.90625,74.78632479,54.84389348,53.58974359,66.91433566,40.85470085,43.41649342,43.29004329,39.83974359,61.44360269,68.73376623,44.98106061,54.5021645,0.125343133,817228,831738,762860,13465,12768
31/08/2005,46.57003444,19.44962687,56.91287879,62.43781095,55.8901919,51.79924242,74.50248756,42.84260516,82.02292111,76.55743024,56.73532197,67.42424242,57.32700136,64.19191919,68.9293915,57.61784512,46.02784603,57.24946695,53.91414141,61.09038143,70.35181237,43.12810945,56.37526652,0.126328901,826716,835688,765723,14714,17516
30/09/2005,25.38178733,27.75735294,56.09452736,60.15114379,45.24684874,49.60820896,61.8872549,12.03208556,76.39180672,70.86796675,49.07882463,75.45605307,52.00534759,65.12437811,71.32352941,50.04145937,49.39491731,83.71848739,62.99751244,56.33986928,70.42016807,42.03431373,53.82352941,0.125912186,829633,833478,768059,13041,19965
31/10/2005,25.5574136,24.86413043,39.93566176,63.44605475,45.19927536,39.26470588,51.57004831,13.0599473,74.23654244,64.93383743,50.94209559,83.49673203,49.91216513,65.14705882,79.29208473,56.29084967,54.79597244,63.83712905,71.07843137,50.99838969,74.34782609,44.41425121,56.873706,0.124379967,825725,835760,769127,13782,13619
30/11/2005,40.74175824,29.82142857,51.32850242,59.92063492,37.61160714,63.33333333,52.14285714,29.91883117,76.65816327,70.10869565,37.35280797,92.75362319,49.67532468,58.50241546,80.3228022,60.72866345,54.51756104,71.53061224,64.43236715,47.41269841,78.08163265,49.10714286,61.12244898,0.125758337,835315,853380,780223,13725,11990
31/12/2005,54.50975081,20.48855634,53.85416667,60.15258216,43.72799296,47.51785714,40.14084507,53.6971831,79.46428571,71.77740355,43.61607143,83.57142857,54.84421682,60.42857143,75.33179848,62.28174603,56.1003861,46.4453387,58.54166667,40.12519562,79.82897384,39.30457746,62.16297787,0.126393455,846860,868460,794900,13266,8772
31/01/2006,51.5892094,16.796875,64.23122066,55.70987654,35.41666667,44.01408451,54.97685185,55.01893939,79.55109127,71.2182971,23.48151408,73.86541471,54.98737374,49.53051643,71.52110043,55.02738654,53.14046441,52.74470899,52.23004695,39.66049383,75.25793651,43.83680556,62.91666667,0.124911594,836476,846864,782011,14432,11303
28/02/2006,51.52792413,16.26712329,60.15625,58.10502283,39.40496575,40.85069444,55.93607306,43.08841843,79.77005871,72.24538416,40.13671875,91.82098765,50.498132,52.26851852,71.6938883,58.25617284,53.27827828,45.82517939,51.01273148,37.40487062,77.6223092,44.34931507,61.34050881,0.12495068,844136,855943,789798,12694,12703
31/03/2006,52.41683992,28.80067568,48.30194064,56.83183183,33.38260135,49.84589041,56.08108108,58.50737101,82.25144788,75.73443008,29.13099315,82.80060883,57.84193284,49.36073059,75.46777547,62.89954338,51.24028138,28.44272844,38.18493151,34.1966967,77.80888031,46.59346847,63.41698842,0.122970106,842450,854825,789999,12903,10043
30/04/2006,50.35897436,35.33333333,58.48817568,45.48148148,49.08333333,40.30405405,51.88888889,57.16666667,80.69047619,74.53623188,29.27576014,77.62762763,52.3030303,48.51351351,75.74358974,63.92642643,53.67056245,57.11111111,30.85585586,35.79259259,80.71428571,44.27777778,63.93333333,0.12361211,852540,858825,792097,13586,16625
31/05/2006,28.65637652,36.71875,57.80555556,50.27412281,32.09292763,48.78333333,63.04824561,35.52631579,72.97932331,66.8978833,22.26041667,76.74074074,60.36682616,53.73333333,76.63208502,45.33333333,49.96996997,72.18045113,34.77777778,36.04897661,83.23308271,31.19517544,65.52631579,0.125759371,856474,865650,799103,10545,15427
30/06/2006,31.39360639,28.97727273,55.11239035,51.26262626,55.29626623,40.70723684,52.92207792,31.89197166,68.66883117,63.36815359,21.40213816,35.5994152,58.12672176,59.86842105,80.47577423,58.69883041,56.32408725,59.36920223,50.60307018,36.91197691,83.79406308,29.04491342,68.57142857,0.123821927,846662,869537,795419,12365,7524
31/07/2006,29.99260355,23.71794872,54.45075758,51.90527066,46.77483974,38.19805195,55.34188034,35.02331002,64.78937729,61.97742475,18.52678571,40.90909091,57.34265734,55.88744589,75.06780079,56.45743146,58.02035802,45.78754579,51.56926407,36.78774929,81.98717949,33.36004274,69.23076923,0.123168721,845552,865854,793762,12275,8166
31/08/2006,36.63583252,22.23101266,49.26549145,38.66033755,43.39398734,46.45833333,40.71729958,36.98216341,63.03119349,61.44056136,13.28125,32.12250712,54.77560414,53.8034188,65.71324245,57.65669516,56.86070686,65.46112116,29.16666667,33.95218003,78.11030741,35.2056962,59.15913201,0.123945524,857543,867123,797084,12243,16503
30/09/2006,42.68028846,20.78125,61.56381857,50.13888889,44.84375,32.84810127,41.14583333,60.96590909,62.07589286,64.53125,13.37025316,33.05203938,50.71969697,49.66244726,57.12139423,47.96061885,55.6562892,30.77380952,46.99367089,32.54166667,69.86607143,35.61197917,56.44642857,0.123648132,851148,867396,792208,11879,15218
31/10/2006,54.60588794,18.13271605,55.48177083,46.46776406,37.71219136,62.671875,30.24691358,71.77328844,59.72222222,60.73537305,16.69921875,35.34722222,46.93228582,48.91666667,55.31220323,44.13194444,44.59459459,22.8101117,20.41666667,31.79012346,69.72663139,35.69958848,52.49559083,0.122985752,854514,871614,795584,12643,14051
30/11/2006,51.50093809,19.47408537,50.46296296,43.64837398,56.09756098,50.38580247,28.7601626,71.74334812,61.03005226,64.42868505,15.76967593,30.79561043,64.20916482,43.49794239,50.84427767,50.56584362,41.59159159,17.79907085,13.3744856,33.56368564,69.79094077,46.59552846,49.03310105,0.121776017,859183,882987,808289,12046,6918
31/12/2006,50.53290083,28.91566265,42.31453252,40.17737617,36.82228916,54.51219512,39.55823293,63.97864184,62.67211704,65.78051336,24.9523628,25.67750678,61.79262505,44.3495935,53.168443,43.90243902,36.98637662,35.25530694,22.96747967,43.89892905,73.17555938,45.90863454,47.12564544,0.122359369,870354,896729,819884,11657,5751
31/01/2007,55.3228022,35.04464286,59.96485944,60.36706349,57.86830357,34.81927711,42.65873016,71.36093074,66.41156463,68.38121118,37.45293675,50.0669344,63.36580087,54.57831325,55.88369963,49.28045515,38.20688158,37.75510204,30.57228916,45.33068783,66.37755102,45.61011905,48.30782313,0.123108254,866212,881315,802599,13264,17276
28/02/2007,56.4479638,32.27941176,51.99652778,60.94771242,41.5625,40.50595238,49.60784314,67.33957219,61.05042017,64.7314578,30.37574405,47.15608466,46.07843137,57.18253968,56.64027149,42.75793651,46.91655942,26.55462185,38.74007937,44,65.40336134,45.14705882,50.5210084,0.123262032,870826,894513,808078,12296,15958
31/03/2007,46.82468694,32.68531977,68.7622549,53.97286822,48.36482558,45.72058824,39.8255814,46.27378436,62.26121262,63.61223458,30.33088235,36.79738562,50.54615927,61.92156863,54.64557245,41.2745098,56.20031797,37.90143965,45.88235294,45.62015504,63.34717608,49.24903101,48.67109635,0.120587803,865655,892047,807379,12134,11251
30/04/2007,42.36295314,46.08477011,60.52567829,62.05300128,51.04166667,44.56395349,35.91954023,35.5276907,53.70484401,62.26886557,25.0090843,55.74935401,49.00731452,62.20930233,52.71330681,55.02260982,58.32285774,55.52818829,56.25,45.6449553,66.94581281,49.85632184,47.55336617,0.122005959,878386,896732,808521,19171,15679
31/05/2007,50.60096154,55.59303977,76.18534483,56.92866162,41.56605114,34.41091954,46.875,47.7143595,56.96022727,63.11758893,30.8908046,17.81609195,47.72727273,55.28735632,57.22792832,38.29821201,60.41731387,52.75974026,65.3256705,44.26767677,67.28084416,53.40909091,49.96753247,0.121510896,873982,897016,815146,11562,11827
30/06/2007,50.85350043,57.86516854,68.02793561,66.18289638,52.89676966,43.09659091,28.74531835,40.84525026,54.33386838,59.0803615,23.06463068,35.66919192,46.59516513,54.12878788,63.596586,45.59659091,55.86097461,46.17442483,62.12121212,44.36953808,70.91492777,51.50983146,54.68699839,0.119390192,868548,889013,812319,10747,9669
31/07/2007,47.47863248,42.95138889,59.11750936,54.47530864,26.31944444,44.5505618,29.90740741,60.02525253,52.39087302,53.01328502,24.03441011,39.95006242,43.01346801,46.85393258,65.8707265,42.79026217,56.3670412,60.42328042,56.41385768,44.7654321,71.16666667,49.83796296,53.3968254,0.11908664,866471,891925,813676,11794,5655
31/08/2007,34.65765004,55.21978022,53.4837963,55.75396825,37.39697802,49.59722222,37.27106227,36.66333666,43.67150706,50.60917344,17.59548611,30.80246914,56.07725608,45.81481481,59.41462384,47.20679012,56.78178178,40.68550497,62.5462963,39.26434676,70.47880691,45.51282051,50.21978022,0.118578157,876037,892485,812431,12122,14761
30/09/2007,36.72658863,59.90149457,44.57417582,63.75301932,38.63790761,41.67582418,41.57608696,32.02816206,44.10908385,53.42627599,15.04120879,38.64468864,54.80895916,53.07692308,52.71216555,59.05067155,53.37590338,44.22877847,38.94230769,28.93417874,66.00931677,44.63315217,41.73136646,0.121483851,889081,896655,812034,11919,27738
